Id,Full_School_Name,School,Full_Conference,Conference_id,Adj. RPI,Division,Type,City,State,State_id
1,University of Virginia,Virginia,Southeast,5,1,1,Mens,Charlottesville,Virginia,51
2,Georgetown University,Georgetown,,0,2,1,Mens,Washington,District of Columbia,11
3,University of Central Florida,UCF,Southeast,5,3,1,Mens,Orlando,Florida,12
4,Southern Methodist University,SMU,Southwest ,6,4,1,Mens,University Park,Texas,48
5,Clemson University,Clemson,Southeast,5,5,1,Mens,Clemson,South Carolina,45
6,Wake Forest University,Wake Forest,Southeast,5,6,1,Mens,Winston-Salem,North Carolina,37
7,University of Washington,Washington,Far West ,8,7,1,Mens,Seattle,Washington,53
8,,St. John's (NY),,0,8,1,Mens,,,0
9,Virginia Tech[A 53],Virginia Tech,Southeast,5,9,1,Mens,Blacksburg,Virginia,51
10,,Missouri St.,,0,10,1,Mens,,,0
11,,Saint Mary's (CA),,0,11,1,Mens,,,0
12,Marshall University,Marshall,Southeast,5,12,1,Mens,Huntington,West Virginia,54
13,University of New Hampshire,New Hampshire,New England ,1,13,1,Mens,Durham,New Hampshire,33
14,,Penn St.,,0,14,1,Mens,,,0
15,Indiana University,Indiana,Great Lakes ,3,15,1,Mens,Bloomington,Indiana,18
16,Stanford University,Stanford,Far West ,8,16,1,Mens,Palo Alto,California,6
17,"University of California, Davis",UC Davis,Far West ,8,17,1,Mens,Davis,California,6
18,Providence College,Providence,New England ,1,18,1,Mens,Providence,Rhode Island,44
19,University of Notre Dame,Notre Dame,Great Lakes ,3,19,1,Mens,South Bend,Indiana,18
20,University of Kentucky,Kentucky,Southeast,5,20,1,Mens,Lexington,Kentucky,21
21,University of North Carolina at Charlotte,Charlotte,Southeast,5,21,1,Mens,Charlotte,North Carolina,37
22,"University of Maryland, College Park",Maryland,Mid East ,2,22,1,Mens,College Park,Maryland,24
23,,LMU (CA),,0,23,1,Mens,,,0
24,"University of California, Santa Barbara",UC Santa Barbara,Far West ,8,24,1,Mens,Santa Barbara,California,6
25,University of Michigan,Michigan,Great Lakes ,3,25,1,Mens,Ann Arbor,Michigan,26
26,University of Louisville,Louisville,Southeast,5,26,1,Mens,Louisville,Kentucky,21
27,Butler University,Butler,Great Lakes ,3,27,1,Mens,Indianapolis,Indiana,18
28,,Central Ark.,,0,28,1,Mens,,,0
29,Boston College,Boston College,New England ,1,29,1,Mens,Chestnut Hill,Massachusetts,25
30,Syracuse University,Syracuse,Mid East ,2,30,1,Mens,Syracuse,New York,36
31,,Loyola Chicago,,0,31,1,Mens,,,0
32,,South Fla.,,0,32,1,Mens,,,0
